Funds,Fund Manager,Category,RupeeVestRating,AUM(in Rs. cr),ExpenseRatio (%),Fund Type,Inception Date,Benchmark Index, NAV , 52 WeekHigh (NAV), 52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%), No. ofStocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,Exit_load_Remarks
Bandhan Income Plus Arbitrage FoF-Reg(G),Harshal Joshi,FOF-DOM,Unrated,200.1,0.29,Open Ended,13-Sep-04,NIFTY Composite Debt Index,43.34,43.34,39.80,1.15,2.62,4.41,8.99,7.62,6.76,6.35,7.15,0,38,-,-,-,-,-,2.79,2.17,7.13,0.09,0.63,0.88,0.34,1.18,FoFs : Domestic,Nil
Bandhan Infrastructure Fund-Reg(G),Vishal Biraia,EQ-INFRA,5,1563.1,2.12,Open Ended,08-Mar-11,BSE India Infrastructure Index - TRI,46.74,57.51,40.65,1.69,1.30,-9.49,-0.07,33.35,25.84,34.77,15.16,55,74,41296,34.9,14.88,47.42,Capital Goods,-,-,-,2.93,0.29,0.55,0.88,20.08,Equity : Sectoral - Infrastructure,0.50% on or before 30D Nil after 30D
Bandhan Innovation Fund-Reg(G),Manish Gunwani,EQ-THEM,Unrated,1387.3,2.12,Open Ended,30-Apr-24,NIFTY 500 - TRI,11.55,13.08,9.65,1.64,0.92,-5.65,15.93,-,-,-,-,-,71,27203,34.6,16.33,41.93,Financials,-,-,-,1.00,0.20,0.35,1.24,20.51,Equity : Thematic,0.50% on or before 30D Nil after 30D
Bandhan Large Cap Fund-Reg(G),Manish Gunwani,EQ-LC,3,1765.9,2.06,Open Ended,09-Jun-06,BSE 100 - TRI,73.35,81.03,65.53,3.26,4.57,-1.92,8.22,20.76,15.58,20.47,11.82,133,52,360125,87.94,7.24,3.88,Financials,-,-,-,0.01,0.19,0.38,1.05,14.64,Equity : Large Cap,0.50% on or before 30D Nil after 30D
Bandhan Liquid Fund-Reg(G),Harshal Joshi,DT-LIQ,2,10408.7,0.25,Open Ended,02-Apr-04,Nifty Liquid Fund Index,3122.64,3122.64,2913.40,0.58,1.78,3.54,7.21,7.20,6.78,5.39,6.19,0,-,-,-,-,-,-,0.19,0.19,7.05,0.16,2.48,0.95,0.28,0.30,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL after 7D
Bandhan Long Duration Fund-Reg(G),Gautam Kaul,DT-LD,Unrated,184.9,0.66,Open Ended,20-Mar-24,NIFTY Long Duration Debt Index,11.22,11.25,9.99,2.08,4.31,5.46,13.06,-,-,-,-,0,-,-,-,-,-,-,28.79,12.01,7.02,-0.23,0.60,1.47,1.38,3.45,Debt : Long Duration,Nil
Bandhan Low Duration Fund-Reg(G),Harshal Joshi,DT-LOWD,3,5530.6,0.60,Open Ended,17-Jan-06,NIFTY Low Duration Debt Index,38.18,38.18,35.42,0.97,2.31,4.02,7.83,7.37,6.73,5.89,6.85,0,-,-,-,-,-,-,0.99,0.90,7.23,0.06,1.05,0.90,0.80,0.70,Debt : Low Duration,Nil
Bandhan Midcap Fund-Reg(G),Ritu Modi,EQ-MID,Unrated,1491.1,2.11,Open Ended,18-Aug-22,BSE 150 MidCap - TRI,15.65,18.56,14.23,2.36,-0.36,-8.66,5.81,25.05,-,-,-,31,91,57937,25.65,56.21,12.1,Healthcare,-,-,-,-0.23,0.26,0.45,0.97,16.25,Equity : Mid Cap,1% on or before 1Y Nil after 1Y
Bandhan Money Manager Fund-Reg(G),Brijesh Shah,DT-MM,1,10048.5,0.35,Open Ended,18-Feb-03,Nifty Money Market Index,39.90,39.90,37.06,0.90,2.29,4.06,7.70,7.23,6.56,5.37,6.13,0,-,-,-,-,-,-,0.84,0.84,7.16,0.08,1.22,0.86,0.59,0.57,Debt : Money Market,Nil
Bandhan Multi Asset Allocation Fund-Reg(G),Viraj Kulkarni,HY-MULTI,Unrated,1811.9,1.99,Open Ended,31-Jan-24,NIFTY 500 - TRI,11.60,12.03,10.48,2.57,2.88,-0.32,9.55,-,-,-,-,252,100,174515,43.7,9.79,12.51,Financials,21.32,9.05,6.94,0.43,0.26,0.55,0.54,8.08,Hybrid : Multi Asset Allocation,Nil for 10% of investment For remaining investment: 0.50% on or before 1Y and Nil after 1Y
Bandhan Multi Cap Fund-Reg(G),Daylynn Pinto,EQ-MLC,Unrated,2389.3,1.99,Open Ended,02-Dec-21,Nifty500 Multicap 50:25:25 - TRI,16.16,18.10,14.70,3.43,3.26,-4.32,5.04,21.93,17.32,-,-,56,94,96526,44.38,25.49,25.49,Financials,-,-,-,0.12,0.24,0.47,0.88,14.13,Equity : Multi Cap,1% on or before 1Y Nil after 1Y
Bandhan Nifty 100 Index Fund-Reg(G),Abhishek Jain,EQ-INDX,Unrated,163.7,0.61,Open Ended,24-Feb-22,NIFTY 100 - TRI,14.47,15.87,13.10,3.22,4.50,-1.40,6.43,17.98,13.01,-,-,9,100,426148,97.87,2.14,-,Financials,-,-,-,-0.05,0.16,0.32,1.00,13.83,Equity : Index Funds,Nil
Bandhan Nifty 200 Quality 30 Index Fund-Reg(G),Abhishek Jain,EQ-INDX,Unrated,9.9,0.97,Open Ended,04-Dec-24,NIFTY200 Quality 30 - TRI,9.16,10.12,8.44,3.06,-1.38,-,-,-,-,-,-,-,30,173597,59.19,28.61,1.3,FMCG,-,-,-,-,-,-,-,-,Equity : Index Funds,0.25% on or before 15D Nil after 15D
Bandhan Nifty 50 ETF,Abhishek Jain,EQ-ETF,Unrated,26.6,0.09,Open Ended,07-Oct-16,NIFTY 50 - TRI,264.58,283.81,235.99,3.48,4.82,0.28,8.87,17.05,13.81,20.82,-,5,50,541628,98.85,0.85,-,Financials,-,-,-,-,0.18,0.37,1.00,12.99,Equity : ETFs,null
Bandhan Nifty 50 Index Fund-Reg(G),Abhishek Jain,EQ-INDX,4,1741.0,0.60,Open Ended,30-Apr-10,NIFTY 50 - TRI,52.14,56.16,46.83,3.42,4.67,-0.02,8.12,16.35,13.15,20.29,12.33,15,50,541621,99.14,0.86,-,Financials,-,-,-,-0.05,0.17,0.34,1.00,13.01,Equity : Index Funds,Nil
Bandhan Nifty 500 Momentum 50 Index Fund-Reg(G),Abhishek Jain,EQ-INDX,Unrated,19.6,1.00,Open Ended,29-Oct-24,Nifty500 Momentum 50 - TRI,8.33,10.46,7.39,4.18,1.05,-16.53,-,-,-,-,-,-,50,76846,47.49,38.15,14,Technology,-,-,-,-,-,-,-,-,Equity : Index Funds,0.25% on or before 15D Nil after 15D
Bandhan Nifty 500 Value 50 Index Fund-Reg(G),Abhishek Jain,EQ-INDX,Unrated,12.1,1.00,Open Ended,29-Oct-24,NIFTY500 Value 50 - TRI,9.39,10.27,8.39,0.91,4.02,-6.28,-,-,-,-,-,-,50,126871,70.95,18.78,10.22,Energy,-,-,-,-,-,-,-,-,Equity : Index Funds,0.25% on or before 15D Nil after 15D
Bandhan Nifty Alpha 50 Index Fund-Reg(G),Abhishek Jain,EQ-INDX,Unrated,362.2,1.02,Open Ended,09-Nov-23,Nifty Alpha 50 - TRI,12.36,16.33,11.10,3.56,-1.90,-15.42,-7.19,-,-,-,-,207,50,60379,28.15,46.71,25.32,Financials,-,-,-,-0.20,0.13,0.20,0.99,24.17,Equity : Index Funds,Nil
Bandhan Nifty Alpha Low Volatility 30 Index Fund-Reg(G),Abhishek Jain,EQ-INDX,Unrated,8.1,0.99,Open Ended,23-Jan-25,NIFTY Alpha Low-Volatility 30 - TRI,9.94,10.01,9.01,4.27,0.88,-,-,-,-,-,-,-,30,197928,85.54,14.3,-,Healthcare,-,-,-,-,-,-,-,-,Equity : Index Funds,0.25% on or before 15D Nil after 15D
Bandhan Nifty Bank Index Fund-Reg(G),Abhishek Jain,EQ-INDX,Unrated,15.2,1.00,Open Ended,27-Aug-24,NIFTY BANK - TRI,10.68,10.78,9.28,6.75,11.41,5.76,-,-,-,-,-,-,12,503472,85.22,14.84,-,Financials,-,-,-,-,-,-,-,-,Equity : Index Funds,0.25% on or before 15D Nil after 15D
Bandhan Nifty IT Index Fund-Reg(G),Abhishek Jain,EQ-INDX,Unrated,24.4,1.02,Open Ended,31-Aug-23,NIFTY IT - TRI,11.81,15.09,10.57,-2.92,-15.73,-13.88,9.23,-,-,-,-,31,10,375893,83.42,16.71,-,Technology,-,-,-,-0.04,0.08,0.15,1.01,22.17,Equity : Index Funds,Nil
Bandhan Nifty Midcap 150 Index Fund-Reg(G),Abhishek Jain,EQ-INDX,Unrated,22.2,0.91,Open Ended,19-Sep-24,Nifty Midcap 150 - TRI,8.92,10.25,8.06,3.43,1.30,-5.67,-,-,-,-,-,-,150,55284,8.78,87.64,3.63,Financials,-,-,-,-,-,-,-,-,Equity : Index Funds,0.25% on or before 15D Nil after 15D
Bandhan Nifty Next 50 Index Fund-Reg(G),Abhishek Jain,EQ-INDX,Unrated,12.8,1.00,Open Ended,28-Feb-25,NIFTY NEXT 50 - TRI,11.26,11.54,10.00,2.21,-,-,-,-,-,-,-,-,50,134061,91.62,8.34,-,Financials,-,-,-,-,-,-,-,-,Equity : Index Funds,0.25% on or before 7D Nil after 7D
Bandhan Nifty Smallcap 250 Index Fund-Reg(G),Abhishek Jain,EQ-INDX,Unrated,47.6,0.89,Open Ended,22-Dec-23,Nifty Smallcap 250 - TRI,11.00,13.45,9.90,1.31,-1.93,-12.70,-3.94,-,-,-,-,53,250,16972,-,5.02,94.88,Financials,-,-,-,-0.08,0.05,0.08,1.00,22.08,Equity : Index Funds,Nil
Bandhan Nifty Total Market Index Fund-Reg(G),Abhishek Jain,EQ-INDX,Unrated,36.0,1.05,Open Ended,10-Jul-24,Nifty Total Market - TRI,9.52,10.66,8.62,3.08,2.98,-3.83,-,-,-,-,-,-,749,191700,69.92,16.99,13,Financials,-,-,-,-,-,-,-,-,Equity : Index Funds,0.25% on or before 15D Nil after 15D
Bandhan Nifty100 Low Volatility 30 Index Fund-Reg(G),Abhishek Jain,EQ-INDX,Unrated,1363.9,1.04,Open Ended,06-Oct-22,Nifty100 Low Volatility 30 - TRI,14.83,16.64,13.51,3.54,1.98,-1.84,8.74,18.96,-,-,-,49,30,303515,90.7,9.3,-,FMCG,-,-,-,-0.12,0.30,0.62,0.99,11.83,Equity : Index Funds,Nil
Bandhan Nifty200 Momentum 30 Index Fund-Reg(G),Abhishek Jain,EQ-INDX,Unrated,117.9,1.07,Open Ended,02-Sep-22,Nifty200 Momentum 30 - TRI,14.72,19.27,13.11,3.88,0.09,-15.76,-10.63,21.63,-,-,-,132,30,162581,74.62,25.38,-,Technology,-,-,-,-0.12,0.18,0.31,1.00,18.58,Equity : Index Funds,Nil
Bandhan Overnight Fund-Reg(G),Brijesh Shah,DT-ON,3,666.7,0.15,Open Ended,18-Jan-19,Nifty 1D Rate Index,1359.48,1359.48,1277.03,0.47,1.48,3.13,6.48,6.58,6.26,4.97,-,0,-,-,-,-,-,-,0.01,0.01,7.14,0.01,2.81,0.89,0.90,0.21,Debt : Overnight,Nil
Bandhan Retirement Fund-Reg(G),Vishal Biraia,HY-SOL,Unrated,171.7,2.35,Open Ended,18-Oct-23,CRISIL Hybrid 50+50 - Moderate Index,12.19,12.68,11.26,2.66,3.86,0.50,6.57,-,-,-,-,249,59,281381,57.15,8.77,3.8,Financials,23.22,9.86,6.96,0.16,0.32,0.63,0.62,8.14,Hybrid : Solution Oriented,Nil
Bandhan Small Cap Fund-Reg(G),Manish Gunwani,EQ-SML,Unrated,9516.2,1.72,Open Ended,25-Feb-20,BSE 250 Small Cap - TRI,41.48,48.98,35.82,2.43,-0.85,-9.76,10.68,38.95,25.73,34.71,-,51,185,12386,5.12,11.79,72.31,Financials,-,-,-,0.65,0.31,0.59,0.90,18.80,Equity : Small Cap,1% on or before 1Y
Bandhan Sterling Value Fund-Reg(G),Daylynn Pinto,EQ-VAL,5,9429.5,1.77,Open Ended,07-Mar-08,BSE 500 - TRI,142.38,159.78,130.49,3.26,3.17,-4.15,4.29,22.31,16.92,32.75,14.86,55,61,173657,58.77,16.35,15.63,Financials,-,-,-,0.19,0.24,0.45,0.92,13.97,Equity : Value / Contra,Nil upto 10% of investment and 1% for remaining investment on or before 365D Nil after 365D
Bandhan Transportation and Logistics Fund-Reg(G),Daylynn Pinto,EQ-AUTO,Unrated,496.1,2.43,Open Ended,25-Oct-22,Nifty Transportation & Logistics - TRI,15.66,19.42,14.46,2.90,-0.96,-9.23,-3.31,23.17,-,-,-,34,32,65511,49.1,20.63,22.61,Automobile and Ancillaries,-,-,-,-0.08,0.30,0.55,0.87,14.97,Equity : Sectoral - Auto,0.50% on or before 30D Nil after 30D
Bandhan Ultra Short Term Fund-Reg(G),Harshal Joshi,DT-USD,4,3556.4,0.46,Open Ended,18-Jul-18,NIFTY Ultra Short Duration Debt Index,15.06,15.06,14.01,0.79,2.07,3.79,7.53,7.35,6.77,5.64,-,0,-,-,-,-,-,-,0.47,0.45,7.18,0.11,1.50,0.96,0.55,0.51,Debt : Ultra Short Duration,Nil
Bandhan US Equity FoF-Reg(G),Ritika Behera,FOF-OVR,Unrated,297.4,1.63,Open Ended,20-Aug-21,Russell 1000 Index,14.28,16.36,12.63,-2.37,-12.75,-6.37,8.53,24.67,17.32,-,-,-,-,-,-,-,-,-,-,-,-,0.51,0.19,0.34,0.70,18.13,FoFs : Overseas,1% on or before 1Y Nil after 1Y
Bandhan US Equity FoF-Reg(IDCW),Ritika Behera,FOF-OVR,Unrated,297.4,1.63,Open Ended,20-Aug-21,Russell 1000 Index,14.28,16.36,12.63,-2.37,-12.75,-6.37,8.53,24.67,17.32,-,-,-,-,-,-,-,-,-,-,-,-,0.51,0.19,0.34,0.70,18.13,FoFs : Overseas,1% on or before 1Y Nil after 1Y
Bandhan US Treasury Bond 0-1 year FoF-Reg(G),Brijesh Shah,FOF-OVR,Unrated,135.2,0.18,Open Ended,28-Mar-23,ICE 0-1 Year US Treasury Securities Index,11.23,11.62,10.66,-0.22,-0.82,3.31,6.68,6.14,-,-,-,-,-,-,-,-,-,-,-,-,-,0.46,0.40,0.70,-0.54,2.18,FoFs : Overseas,0.10% on or before 7D Nil after 7D
Bank of India Arbitrage Fund-Reg(G),Firdaus Marazban Ragina,HY-ARB,Unrated,43.7,0.86,Open Ended,18-Jun-18,Nifty 50 Arbitrage,13.69,13.69,12.79,0.63,1.79,3.43,6.91,6.81,5.91,4.45,-,0,41,186833,54.44,13.14,4.48,Financials,0.22,0.22,6.76,-0.02,0.81,0.83,0.67,0.61,Hybrid : Arbitrage,0.50% on or before 15D Nil after 15D
Bank of India Balanced Advantage Fund-Reg(G),Alok Singh,HY-DYN,Unrated,132.0,2.30,Open Ended,14-Mar-14,NIFTY 50 Hybrid Composite Debt 50:50 Index,24.06,25.84,22.43,2.22,3.07,-2.11,0.80,12.31,9.61,11.46,7.01,0,56,424696,65.51,0.88,-,Financials,3.37,2.69,7.04,-0.11,0.14,0.28,0.75,10.15,Hybrid : Dynamic Asset Allocation,1% on or before 3M Nil after 3M
Bank of India Bluechip Fund-Reg(G),Alok Singh,EQ-LC,Unrated,184.1,2.30,Open Ended,29-Jun-21,NIFTY 100 - TRI,15.02,17.16,13.51,2.17,2.66,-6.23,-2.59,18.95,13.87,-,-,58,49,198055,80.66,8.68,8.72,Financials,-,-,-,-0.04,0.16,0.29,1.06,15.42,Equity : Large Cap,1% on or before 3M Nil after 3M
Bank of India Business Cycle Fund-Reg(G),Alok Singh,EQ-THEM,Unrated,515.0,2.29,Open Ended,30-Aug-24,NIFTY 500 - TRI,8.60,10.44,7.79,2.62,-0.23,-12.92,-,-,-,-,-,162,59,67555,50.5,11.91,34.81,Financials,-,-,-,-,-,-,-,-,Equity : Thematic,Nil upto 10% of units and 1% for remaining units on or before 3M Nil after 3M
Bank of India Conservative Hybrid Fund-Reg(G),Alok Singh,HY-DT(CO),Unrated,66.5,2.05,Open Ended,18-Mar-09,CRISIL Hybrid 85+15 - Conservative Index,33.40,33.66,31.89,0.99,1.45,0.51,3.55,8.32,7.11,12.07,7.48,0,30,118667,13.14,2.38,4.12,Financials,3.70,2.92,7.03,-0.14,0.20,0.41,0.99,3.96,Hybrid : Debt Oriented (Conservative),Nil for 10% of investment and 1% for remaining investment on or before 1Y Nil after 1Y
Bank of India Consumption Fund-Reg(G),Nitin Gosar,EQ-CONS,Unrated,388.4,2.30,Open Ended,20-Dec-24,Nifty India Consumption - TRI,9.93,10.19,8.92,4.61,3.10,-,-,-,-,-,-,11,33,79388,47.65,21.21,28.86,FMCG,-,-,-,-,-,-,-,-,Equity : Thematic - Consumption,Nil for 10% of investments and 1% for remaining investments or or before 12M Nil after 12M
Bank of India Credit Risk Fund-Reg(G),Alok Singh,DT-CR,2,110.1,1.38,Open Ended,27-Feb-15,CRISIL Credit Risk Debt Index,12.09,12.09,11.46,1.04,2.04,3.22,5.54,6.09,5.51,27.01,1.80,0,-,-,-,-,-,-,0.66,0.53,6.82,0.05,0.39,0.58,0.17,1.00,Debt : Credit Risk,4% on or before 12M 3% after 12M but on or before 24M 2% after 24M but on or before 36M Nil after 36M
Bank of India ELSS Tax Saver-Reg(G),Alok Singh,EQ-ELSS,5,1319.6,1.98,Open Ended,25-Feb-09,BSE 500 - TRI,150.65,177.91,134.98,0.32,-0.18,-10.14,-5.50,21.12,16.47,24.19,15.01,72,54,94823,53.52,18.95,21.81,Financials,-,-,-,0.04,0.19,0.34,1.12,17.53,Equity : Tax Saving (ELSS),Nil
Bank of India Flexi Cap Fund-Reg(G),Alok Singh,EQ-FLEX,Unrated,1962.0,1.96,Open Ended,29-Jun-20,BSE 500 - TRI,31.54,37.58,28.57,-0.72,-1.84,-10.81,-2.57,25.17,18.26,-,-,71,58,70901,46.01,20.28,32.88,Financials,-,-,-,0.14,0.21,0.38,1.16,18.19,Equity : Flexi Cap,1% on or before 3M Nil after 3M
Bank of India Large & Mid Cap Equity Fund-Reg(G),Nitin Gosar,EQ-L&M,3,362.4,2.30,Open Ended,21-Oct-08,BSE 250 LargeMidCap Index - TRI,81.69,93.96,73.62,2.04,1.52,-5.87,0.26,19.16,15.56,21.53,11.68,85,54,113232,44.3,38.18,16.08,Financials,-,-,-,0.05,0.20,0.37,1.06,15.69,Equity : Large & Mid Cap,NIL upto 10% of units and 1% for in execss of above Limit on or before 1Y NIL after 1Y
Bank of India Liquid Fund-Reg(G),Mithraem Bharucha,DT-LIQ,2,1523.9,0.13,Open Ended,16-Jul-08,CRISIL Liquid Debt Index,2976.10,2976.10,2773.04,0.59,1.81,3.61,7.35,7.33,6.89,5.48,6.26,0,-,-,-,-,-,-,0.17,0.17,6.94,-0.02,2.58,0.99,1.11,0.30,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D
Bank of India Mfg & Infra Fund-Reg(G),Nitin Gosar,EQ-INFRA,Unrated,513.9,2.29,Open Ended,05-Mar-10,BSE India Infrastructure Index - TRI,50.52,60.31,45.42,0.89,-1.01,-8.90,-0.97,26.10,21.06,29.92,15.56,52,62,46913,33.53,21.02,42.48,Energy,-,-,-,2.35,0.26,0.48,1.11,17.32,Equity : Sectoral - Infrastructure,NIL upto 10% of units and 1% for in execss of above Limit on or before 1Y NIL after 1Y
Bank of India Mid & Small Cap Equity & Debt Fund-Reg(G),Alok Singh,HY-EQ,5,1067.6,2.09,Open Ended,20-Jul-16,Nifty MidSmallcap 400 - TRI,35.20,40.40,32.23,1.15,0.37,-6.68,1.82,22.85,15.85,25.47,-,101,53,27227,4.77,38.22,31.1,Financials,2.54,1.87,7.00,-0.17,0.20,0.33,0.82,15.58,Hybrid : Equity Oriented,1% on or before 3M Nil after 3M
Bank of India Money Market Fund-Reg(G),Mithraem Bharucha,DT-MM,Unrated,158.6,0.62,Open Ended,04-Feb-25,CRISIL Money Market Index,10.22,10.22,10.00,0.88,-,-,-,-,-,-,-,0,-,-,-,-,-,-,0.81,0.88,6.51,-,-,-,-,-,Debt : Money Market,Nil 
Bank of India Multi Asset Allocation Fund-Reg(G),Mithraem Bharucha,HY-MULTI,Unrated,333.3,1.93,Open Ended,28-Feb-24,NIFTY Composite Debt Index,10.95,11.27,10.19,1.97,3.08,-0.37,4.70,-,-,-,-,85,44,76884,23.62,3.61,11.58,Financials,4.79,3.62,7.18,0.15,0.13,0.25,0.53,8.45,Hybrid : Multi Asset Allocation,Nil upto 10% of units and 1% for remaining units on or before 1Y Nil after 1Y
Bank of India Multi Cap Fund-Reg(G),Nitin Gosar,EQ-MLC,Unrated,778.0,2.20,Open Ended,03-Mar-23,Nifty500 Multicap 50:25:25 - TRI,16.33,18.61,14.76,1.36,0.92,-6.18,2.18,24.44,-,-,-,77,62,77854,37.26,29.31,27.65,Financials,-,-,-,0.10,0.41,0.76,1.00,14.82,Equity : Multi Cap,Nil upto 10% of units and 1% for remaining units on or before 1Y Nil after 1Y
Bank of India Overnight Fund-Reg(G),Mithraem Bharucha,DT-ON,2,41.3,0.10,Open Ended,28-Jan-20,CRISIL Liquid Overnight Index,1298.89,1298.89,1218.14,0.49,1.53,3.22,6.65,6.74,6.42,5.13,-,0,-,-,-,-,-,-,-,-,7.17,-,2.98,0.93,0.92,0.21,Debt : Overnight,Nil
Bank of India Short Term Income Fund-Reg(G),Mithraem Bharucha,DT-SD,Unrated,114.1,1.00,Open Ended,18-Dec-08,CRISIL Short Duration Debt Index,26.52,26.52,24.05,1.20,2.57,6.18,10.42,8.02,9.38,10.37,5.80,0,-,-,-,-,-,-,3.25,2.51,6.90,0.24,0.34,1.45,0.54,4.48,Debt : Short Duration,Nil
Bank of India Small Cap Fund-Reg(G),Alok Singh,EQ-SML,5,1574.2,1.99,Open Ended,19-Dec-18,Nifty Smallcap 250 - TRI,42.36,51.76,37.62,1.20,-1.79,-12.75,1.54,25.17,18.37,33.25,-,49,68,13915,4.08,15.52,77.81,Financials,-,-,-,0.11,0.21,0.35,0.89,19.10,Equity : Small Cap,Nil upto 10% of units and 1% for excess units on or before 1Y Nil after 1Y
Bank of India Ultra Short Duration Fund-Reg(G),Mithraem Bharucha,DT-USD,3,154.6,0.85,Open Ended,16-Jul-08,CRISIL Ultra Short Term Debt Index,3130.19,3130.19,2927.74,0.74,1.95,3.56,6.93,6.62,6.19,5.21,6.56,0,-,-,-,-,-,-,0.45,0.47,7.19,-0.17,1.36,0.79,1.12,0.44,Debt : Ultra Short Duration,Nil
Baroda BNP Paribas Aggressive Hybrid Fund-Reg(G),Jitendra Sriram,HY-EQ,4,1149.9,2.13,Open Ended,07-Apr-17,CRISIL Hybrid 35+65 - Aggressive Index,26.80,28.79,24.68,2.36,1.99,-2.72,5.92,18.22,14.19,17.58,-,91,49,290022,50.64,14.26,3.13,Financials,5.26,3.08,7.70,0.04,0.23,0.44,1.06,10.59,Hybrid : Equity Oriented,Nil upto 10% of units and 1 % for in excess of limits on or before 12M Nil after 12M
Baroda BNP Paribas Aqua FoF-Reg(G),Swapna Shelar,FOF-OVR,Unrated,39.0,1.57,Open Ended,07-May-21,MSCI World,12.35,13.02,11.03,2.16,-1.23,-0.17,4.35,8.60,9.87,-,-,39,-,-,-,-,-,-,-,-,-,-0.10,0.08,0.16,0.75,18.16,FoFs : Overseas,1% on or before 12M Nil after 12M
Baroda BNP Paribas Arbitrage Fund-Reg(G),Neeraj Saxena,HY-ARB,4,1061.0,1.14,Open Ended,28-Dec-16,Nifty 50 Arbitrage,15.92,15.92,14.86,0.68,1.81,3.42,7.07,7.38,6.53,5.28,-,1773,82,112620,38.22,17.31,11.01,Financials,0.76,0.53,6.89,0.04,1.06,0.96,0.63,0.63,Hybrid : Arbitrage,0.25% on or before 15D Nil after 15D
Baroda BNP Paribas Balanced Advantage Fund-Reg(G),Sanjay Chawla,HY-DYN,5,4073.2,1.89,Open Ended,14-Nov-18,BSE 200,23.17,24.10,21.28,2.10,3.09,-0.08,6.69,16.14,13.38,16.57,-,212,50,176486,48.47,17.23,11.11,Financials,6.66,3.69,7.80,0.16,0.22,0.43,0.74,10.19,Hybrid : Dynamic Asset Allocation,Nil upto 10% of units and 1% for remaining units on or before 1Y Nil after 1Y
Baroda BNP Paribas Banking and Fin Serv Fund-Reg(G),Sandeep Jain,EQ-FIN,Unrated,237.5,2.42,Open Ended,22-Jun-12,Nifty Financial Services - TRI,46.30,47.30,37.92,3.85,9.64,4.42,14.11,21.23,18.45,20.19,11.28,111,27,394005,79.24,9.79,8.85,Financials,-,-,-,0.19,0.23,0.51,0.96,15.65,Equity : Sectoral - Financial Services,1% on or before 30D Nil after 30D
Baroda BNP Paribas Banking and PSU Bond Fund-Reg(G),Gurvinder Singh Wasan,DT-B&PSU,1,25.6,0.79,Open Ended,17-Dec-20,CRISIL Banking and PSU Debt Index,12.56,12.56,11.46,1.57,3.18,4.91,9.58,7.77,6.53,-,-,0,-,-,-,-,-,-,5.01,3.74,6.98,-0.26,0.39,0.61,1.31,1.66,Debt : Banking & PSU,Nil
Baroda BNP Paribas Business Cycle Fund-Reg(G),Jitendra Sriram,EQ-THEM,Unrated,548.8,2.36,Open Ended,15-Sep-21,BSE 500 - TRI,14.90,17.11,13.55,2.80,1.17,-6.55,1.91,20.76,15.86,-,-,62,61,204088,65.04,18.42,10.79,Financials,-,-,-,0.01,0.19,0.36,1.02,15.24,Equity : Thematic,Nil upto 10% of units and 1% for remaining units on or beofre 1Y Nil after 1Y
Baroda BNP Paribas Childrens Fund-Reg(G),Pratish Krishnan,HY-SOL,Unrated,75.8,2.33,Open Ended,31-Dec-24,NIFTY 500 - TRI,9.91,10.08,9.03,3.20,2.10,-,-,-,-,-,-,48,47,188191,61.04,20.11,11.77,Financials,4.21,3.12,6.52,-,-,-,-,-,Hybrid : Solution Oriented,1% on or before 1Y Nil after 1Y
Baroda BNP Paribas Conservative Hybrid Fund-Reg(G),Pratish Krishnan,HY-DT(CO),2,739.3,2.04,Open Ended,23-Sep-04,CRISIL Hybrid 85+15 - Conservative Index,44.06,44.10,40.78,1.84,2.94,2.72,7.38,10.13,8.37,8.34,7.24,144,48,171403,14.39,5.38,3.76,Financials,5.66,3.57,7.48,-0.07,0.27,0.52,1.02,3.94,Hybrid : Debt Oriented (Conservative),1% on or before 6M Nil after 6M
Baroda BNP Paribas Corp Bond Fund(G),Gurvinder Singh Wasan,DT-CORP,Unrated,195.6,0.58,Open Ended,08-Nov-08,CRISIL Corporate Bond Index,27.27,27.27,24.78,1.78,3.38,5.17,10.09,8.27,7.10,6.20,6.09,0,-,-,-,-,-,-,4.89,3.57,7.21,0.05,0.46,0.72,0.49,1.76,Debt : Corporate Bond,Nil
Baroda BNP Paribas Credit Risk Fund-Reg(G),Gurvinder Singh Wasan,DT-CR,4,173.5,1.60,Open Ended,23-Jan-15,CRISIL Credit Risk Debt Index,21.94,21.94,20.13,1.21,2.56,4.32,9.08,8.16,7.35,9.49,7.83,0,-,-,-,-,-,-,3.29,2.26,8.14,0.17,0.92,0.96,0.25,0.99,Debt : Credit Risk,Nil upto 10% of units and 1% for remaining units on or before 1Y Nil after 1Y
